Question,Answer
How many days of sick leave am I allowed?,"There's no fixed quota, but all absences must be justified with documentation."
What is the average placement package?,The average package ranges from 6-8 lakhs per annum.
What is the attendance policy for online classes?,Same as in-person: 75% attendance required.
Are there quiet study areas?,"Yes, designated silent zones and individual study carrels."
How can I improve my resume?,Attend resume writing workshops and get one-on-one reviews from placement coordinators.
Are international internships allowed?,"Yes, with prior approval from the Placement Cell and International Office."
How do I apply for a certificate?,Submit request through student portal or at the Academic Office.
What is the alcohol and drug policy?,Possession or consumption of alcohol and drugs on campus is strictly forbidden.
Are there computers available for use?,"Yes, computer workstations are available on a first-come basis."
Is there a post office?,"Yes, a post office operates in the administrative block."
How do I contact my academic advisor?,Advisor contact information is on the department website.
Is there corporate etiquette training?,"Yes, as part of placement preparation program."
Are there blue light emergency phones?,"Yes, emergency call boxes located throughout campus."
Can I retake training modules?,"Yes, all training materials remain accessible for revision."
What information is on the ID card?,"Name, photo, student ID number, program, and validity period."
What GPA do I need to maintain to stay enrolled?,Minimum cumulative GPA of 2.0 is required to remain in good standing.
What's the protocol for campus emergencies?,Emergency alerts via SMS/email; follow instructions from authorities.
Can I get a refund for unused meal plan credits?,"Yes, unused meal plan credits can be refunded at the end of the semester."
What is the penalty for plagiarism?,Penalties range from zero marks on the assignment to course failure or expulsion.
How do I get off academic probation?,Raise your GPA above 2.0 by the end of the probation semester.
Is there research assistance available?,"Yes, reference librarians help with research queries."
Is there a digital version of the ID?,A digital ID is available through the student mobile app.
Can I do a research internship instead of industry?,"Yes, research internships at universities/institutes are allowed."
What is the dream offer policy?,"Once you accept a dream offer (>10 lakhs), you're removed from further placements."
How are internship stipends determined?,Stipends vary by company and are disclosed during the recruitment process.
Can I appeal an attendance shortage?,"Yes, submit a written appeal with supporting documents to your department head."
Can I get an application fee waiver?,Fee waivers are available for economically disadvantaged students.
How do I apply for a merit scholarship?,Submit your application through the student portal with your academic transcripts and a statement of purpose.
Can I use the bus service for one trip?,Daily tickets are available for occasional users.
Can I convert my internship into a full-time job?,Many companies offer pre-placement offers (PPO) based on internship performance.
How long does revaluation take?,Revaluation results are announced within 2-3 weeks.
Is there protection against retaliation?,"Yes, the university has strict anti-retaliation policies."
Does the university provide bus service?,"Yes, bus service is available from major city points to campus."
Are there escort services after dark?,"Yes, security escorts available upon request."
How do I get a fee receipt?,Fee receipts are automatically generated and available for download from the student portal.
Can I do multiple internships?,"Yes, but you must balance them with your academic commitments."
Can I bring a service animal to campus?,"Yes, registered service animals are permitted."
Can I have multiple emergency contacts?,"Yes, recommended to have at least two."
What if I'm not satisfied with the resolution?,You can escalate to higher authorities or appeal the decision.
What software is available on campus computers?,"Full suite including MS Office, MATLAB, CAD, statistical packages."
Can I opt out of placements if I have other plans?,"Yes, you can opt out by submitting a declaration form to the Placement Cell."
Is there a deadline for requesting refunds?,Refund requests must be submitted within 60 days of withdrawal.
Is laundry service available?,"Yes, laundry facilities are available in all hostels."
Can I file complaints about hostel issues?,"Yes, hostel-related complaints go to the Warden's office."
What if I'm experiencing a mental health crisis?,Contact counseling center emergency line or campus security.
How are disciplinary cases handled?,Cases are reviewed by the Disciplinary Committee with the student given opportunity to explain.
Are there any discounts for early payment?,"Yes, a 5% discount is offered if full tuition is paid before the semester starts."
Are there open-access computer labs?,"Yes, multiple labs available for student use."
Can I apply for multiple scholarships?,"Yes, you can apply for multiple scholarships if you meet the eligibility criteria for each."
Are there peer tutoring services?,"Yes, high-performing students offer tutoring in various subjects."
Is there a fee for certificates?,"Yes, 100 per certificate for most types."
How do I verify my documents are received?,Check your application status on the admission portal.
Can I use a preferred name?,"Yes, preferred name can be displayed in systems while legal name remains official."
What training programs are available for placement preparation?,"We offer aptitude training, technical skills workshops, and soft skills development."
When is the add/drop deadline?,Add/drop period is the first two weeks of the semester.
Am I eligible for a refund if I withdraw after classes start?,Partial refunds are available based on the withdrawal date. Check our refund policy.
What dining options are available?,"Multiple canteens, cafeterias, and food courts across campus."
Is counseling really confidential?,"Yes, except in cases of harm to self or others."
What certificates can I request?,"Bonafide, attendance, course completion, character, and transcripts."
Can international students work on campus?,"Yes, limited on-campus work opportunities are available."
What is the refund processing time?,Refunds are typically processed within 30-45 business days.
What is the IT helpdesk number?,IT support: ext. 2500 or email ithelpdesk@university.edu
What is considered inappropriate behavior on campus?,"Harassment, discrimination, substance abuse, and disruptive conduct."
Can I pay fees from abroad?,"Yes, international wire transfers are accepted."
Can I audit classes I'm interested in?,"Yes, with instructor permission and no credit."
What is the processing time for certificates?,Certificates are typically ready in 3-5 working days.
Do dropped courses appear on my transcript?,Courses dropped after add/drop show as 'W' on transcript.
When are grades due from professors?,Faculty must submit grades within 10 days of exam completion.
How do I register for disability services?,Contact Disability Services office with documentation.
Are recommendation letters mandatory?,"Yes, typically 2-3 letters from teachers or professionals."
What happens if I miss the fee payment deadline?,A late fee of 500 per day will be charged after the deadline.
When will I know if I received a scholarship?,Scholarship decisions are communicated by July 31st via email and student portal.
Is there a campus clinic?,"Yes, a fully equipped health center operates during business hours."
Can I get help with my research project?,"Yes, librarians provide consultations."
Is the ID card mandatory to carry?,"Yes, ID cards must be carried at all times on campus."
Can holidays be extended due to circumstances?,"In exceptional circumstances, the administration may extend holidays."
When is the deadline for semester fees?,Fees must be paid before the semester start date.
Can I get certificates in digital format?,"Yes, digital certificates are available for most types."
How do I renew borrowed books?,Books can be renewed online through the library portal.
Can I update submitted documents?,"Yes, contact the admission office to replace documents before review."
Are hostels air-conditioned?,Some hostels have AC rooms at higher rates; most have fans.
Are there entrepreneurship programs?,"Yes, the Innovation Cell supports student startups."
Is leave granted for religious observances?,"Yes, leave for important religious festivals is granted."
When is the university foundation day?,Foundation day is celebrated on [date] each year with classes suspended.
What cultural events happen on campus?,"Annual fest, department days, talent shows, and cultural nights."
Can I get a sign language interpreter?,"Yes, request through Disability Services with advance notice."
Is there plagiarism checking software?,"Yes, Turnitin access for checking work before submission."
What happens if my GPA drops below the scholarship requirement?,You'll be placed on probation for one semester to improve your GPA. Failure to do so may result in scholarship loss.
